"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 06 11:46:35 UTC 2025","Tue May 06 11:46:38 UTC 2025","2165","","example.spec.ts","","","","example test",""
"passed","Wed Feb 18 13:35:30 UTC 2026","Wed Feb 18 13:35:33 UTC 2026","3403","","admin-portal/login.spec.ts","Admin Portal Login Tests","","","Successful login with valid credentials",""
"passed","Wed Feb 18 13:41:24 UTC 2026","Wed Feb 18 13:41:47 UTC 2026","22740","","provider-portal/library/care-plan.spec.ts","Care Plan Flow","","","should navigate forward and backward with data retention",""
"passed","Wed Feb 18 13:43:37 UTC 2026","Wed Feb 18 13:44:08 UTC 2026","31586","","provider-portal/library/care-plan.spec.ts","Care Plan Flow","","","should save as draft from edit mode",""
"passed","Tue May 06 11:46:42 UTC 2025","Tue May 06 11:46:51 UTC 2025","8478","","provider-portal\patient-chat.spec.ts","Provider Portal Patient Chat","","","should navigate to patient chart and send a chat message",""
"passed","Wed Feb 18 13:37:54 UTC 2026","Wed Feb 18 13:38:19 UTC 2026","24743","","provider-portal/library/care-plan.spec.ts","Care Plan Flow","","","should save care plan as draft and resume editing",""
"passed","Wed Feb 18 13:38:19 UTC 2026","Wed Feb 18 13:38:52 UTC 2026","32429","","provider-portal/library/care-plan.spec.ts","Care Plan Flow","","","should edit an existing care plan and verify changes",""
"failed","Wed Feb 18 13:35:20 UTC 2026","Wed Feb 18 13:35:26 UTC 2026","5873","","provider-portal/patient-wallet/patient-chat.spec.ts","Provider Portal Patient Chat","","","should navigate to patient chart and send a chat message",""
"passed","Wed Feb 18 13:35:21 UTC 2026","Wed Feb 18 13:35:32 UTC 2026","10238","","provider-portal/library/template-crud.spec.ts","Template CRUD Flow","","","should perform complete CRUD operations on template",""
"passed","Tue May 06 11:46:42 UTC 2025","Tue May 06 11:46:48 UTC 2025","6300","","provider-portal\patient-chart.spec.ts","Provider Portal Patient Chart","","","should navigate to patient chart and verify patient name",""
"passed","Wed Feb 18 13:38:52 UTC 2026","Wed Feb 18 13:39:18 UTC 2026","26257","","provider-portal/library/care-plan.spec.ts","Care Plan Flow","","","should delete a care plan with confirmation",""
"failed","Mon Jan 05 13:37:17 UTC 2026","Mon Jan 05 13:37:39 UTC 2026","22349","","provider-portal\template-crud.spec.ts","Template CRUD Flow","","","should perform complete CRUD operations on template",""
"failed","Wed Feb 18 13:34:51 UTC 2026","Wed Feb 18 13:34:57 UTC 2026","6526","","provider-portal/patient-wallet/patient-chart.spec.ts","Provider Portal Patient Chart","","","should navigate to patient chart and verify patient name",""
"failed","Wed Feb 18 13:35:27 UTC 2026","Wed Feb 18 13:35:33 UTC 2026","5950","","provider-portal/patient-wallet/vitals.spec.ts","Provider Portal Vitals","","","Add Heart Rate vital and verify latest reading",""
"failed","Wed Feb 18 13:34:59 UTC 2026","Wed Feb 18 13:35:19 UTC 2026","20370","","provider-portal/patient-wallet/patient-chart.spec.ts","Provider Portal Patient Chart","","","should add vital, review it in work list and verify reviewed status",""
"passed","Wed Feb 18 13:42:17 UTC 2026","Wed Feb 18 13:42:43 UTC 2026","25554","","provider-portal/library/care-plan.spec.ts","Care Plan Flow","","","should open care plan in View Only mode with disabled fields",""
