[STEP] 2026-05-13T07:18:26.954Z - Login to Provider Portal
[STEP] 2026-05-13T07:18:27.743Z - Attempting to login to provider portal
[STEP] 2026-05-13T07:18:27.743Z - Navigating to provider portal login page
[INFO] 2026-05-13T07:18:27.837Z - Successfully navigated to provider portal login page
[INFO] 2026-05-13T07:18:32.928Z - Login attempt completed
[STEP] 2026-05-13T07:18:34.446Z - Navigating to Alerts page
[INFO] 2026-05-13T07:18:35.490Z - Navigated to Alerts page
[STEP] 2026-05-13T07:18:35.491Z - Test: Sort by Name descending
[STEP] 2026-05-13T07:18:35.491Z - Getting alert row count
[INFO] 2026-05-13T07:18:36.497Z - Alert row count: 25
[STEP] 2026-05-13T07:18:36.497Z - Sorting by column: NAME
[INFO] 2026-05-13T07:18:38.078Z - Sorted by column: NAME
[STEP] 2026-05-13T07:18:38.078Z - Sorting by column: NAME
[INFO] 2026-05-13T07:18:39.661Z - Sorted by column: NAME
[STEP] 2026-05-13T07:18:39.661Z - Getting all patient names from table
[STEP] 2026-05-13T07:18:40.663Z - Getting alert row count
[INFO] 2026-05-13T07:18:41.669Z - Alert row count: 25
[STEP] 2026-05-13T07:18:41.669Z - Getting cell text at row 1, column 1
[INFO] 2026-05-13T07:18:41.680Z - Cell text: Smith, Jemimah
[STEP] 2026-05-13T07:18:41.680Z - Getting cell text at row 2, column 1
[INFO] 2026-05-13T07:18:41.688Z - Cell text: Smith, Jemimah
[STEP] 2026-05-13T07:18:41.688Z - Getting cell text at row 3, column 1
[INFO] 2026-05-13T07:18:41.698Z - Cell text: Smith, Jemimah
[STEP] 2026-05-13T07:18:41.698Z - Getting cell text at row 4, column 1
[INFO] 2026-05-13T07:18:41.707Z - Cell text: Smith, Jemimah
[STEP] 2026-05-13T07:18:41.708Z - Getting cell text at row 5, column 1
[INFO] 2026-05-13T07:18:41.717Z - Cell text: Smith, Jemimah
[STEP] 2026-05-13T07:18:41.717Z - Getting cell text at row 6, column 1
[INFO] 2026-05-13T07:18:41.725Z - Cell text: Smith, Jemimah
[STEP] 2026-05-13T07:18:41.725Z - Getting cell text at row 7, column 1
[INFO] 2026-05-13T07:18:41.733Z - Cell text: Smith, Jemimah
[STEP] 2026-05-13T07:18:41.733Z - Getting cell text at row 8, column 1
[INFO] 2026-05-13T07:18:41.744Z - Cell text: Smith, Jemimah
[STEP] 2026-05-13T07:18:41.744Z - Getting cell text at row 9, column 1
[INFO] 2026-05-13T07:18:41.753Z - Cell text: Fadel, Elvie
[STEP] 2026-05-13T07:18:41.753Z - Getting cell text at row 10, column 1
[INFO] 2026-05-13T07:18:41.761Z - Cell text: Bird, Alen
[STEP] 2026-05-13T07:18:41.761Z - Getting cell text at row 11, column 1
[INFO] 2026-05-13T07:18:41.768Z - Cell text: Automation, Test
[STEP] 2026-05-13T07:18:41.768Z - Getting cell text at row 12, column 1
[INFO] 2026-05-13T07:18:41.776Z - Cell text: Automation, Test
[STEP] 2026-05-13T07:18:41.776Z - Getting cell text at row 13, column 1
[INFO] 2026-05-13T07:18:41.783Z - Cell text: Automation, Test
[STEP] 2026-05-13T07:18:41.783Z - Getting cell text at row 14, column 1
[INFO] 2026-05-13T07:18:41.793Z - Cell text: Automation, Test
[STEP] 2026-05-13T07:18:41.793Z - Getting cell text at row 15, column 1
[INFO] 2026-05-13T07:18:41.802Z - Cell text: Automation, Test
[STEP] 2026-05-13T07:18:41.802Z - Getting cell text at row 16, column 1
[INFO] 2026-05-13T07:18:41.811Z - Cell text: Automation, Test
[STEP] 2026-05-13T07:18:41.811Z - Getting cell text at row 17, column 1
[INFO] 2026-05-13T07:18:41.823Z - Cell text: Automation, Test
[STEP] 2026-05-13T07:18:41.824Z - Getting cell text at row 18, column 1
[INFO] 2026-05-13T07:18:41.836Z - Cell text: Automation, Test
[STEP] 2026-05-13T07:18:41.836Z - Getting cell text at row 19, column 1
[INFO] 2026-05-13T07:18:41.844Z - Cell text: Automation, Test
[STEP] 2026-05-13T07:18:41.844Z - Getting cell text at row 20, column 1
[INFO] 2026-05-13T07:18:41.854Z - Cell text: Automation, Test
[STEP] 2026-05-13T07:18:41.855Z - Getting cell text at row 21, column 1
[INFO] 2026-05-13T07:18:41.863Z - Cell text: Automation, Test
[STEP] 2026-05-13T07:18:41.863Z - Getting cell text at row 22, column 1
[INFO] 2026-05-13T07:18:41.870Z - Cell text: Automation, Test
[STEP] 2026-05-13T07:18:41.870Z - Getting cell text at row 23, column 1
[INFO] 2026-05-13T07:18:41.877Z - Cell text: Automation, Test
[STEP] 2026-05-13T07:18:41.878Z - Getting cell text at row 24, column 1
[INFO] 2026-05-13T07:18:41.888Z - Cell text: Automation, Test
[STEP] 2026-05-13T07:18:41.888Z - Getting cell text at row 25, column 1
[INFO] 2026-05-13T07:18:41.897Z - Cell text: Automation, Test
[INFO] 2026-05-13T07:18:41.897Z - Found 25 patient names
[INFO] 2026-05-13T07:18:41.910Z - Name descending sort verified
