[STEP] 2026-05-13T07:18:13.445Z - Login to Provider Portal
[STEP] 2026-05-13T07:18:14.116Z - Attempting to login to provider portal
[STEP] 2026-05-13T07:18:14.116Z - Navigating to provider portal login page
[INFO] 2026-05-13T07:18:14.212Z - Successfully navigated to provider portal login page
[INFO] 2026-05-13T07:18:19.407Z - Login attempt completed
[STEP] 2026-05-13T07:18:20.928Z - Navigating to Alerts page
[INFO] 2026-05-13T07:18:21.973Z - Navigated to Alerts page
[STEP] 2026-05-13T07:18:21.974Z - Test: Sort by Name ascending
[STEP] 2026-05-13T07:18:21.974Z - Getting alert row count
[INFO] 2026-05-13T07:18:22.980Z - Alert row count: 25
[STEP] 2026-05-13T07:18:22.980Z - Sorting by column: NAME
[INFO] 2026-05-13T07:18:24.557Z - Sorted by column: NAME
[STEP] 2026-05-13T07:18:24.557Z - Getting all patient names from table
[STEP] 2026-05-13T07:18:25.560Z - Getting alert row count
[INFO] 2026-05-13T07:18:26.566Z - Alert row count: 25
[STEP] 2026-05-13T07:18:26.566Z - Getting cell text at row 1, column 1
[INFO] 2026-05-13T07:18:26.576Z - Cell text: Automation, Test
[STEP] 2026-05-13T07:18:26.577Z - Getting cell text at row 2, column 1
[INFO] 2026-05-13T07:18:26.589Z - Cell text: Automation, Test
[STEP] 2026-05-13T07:18:26.589Z - Getting cell text at row 3, column 1
[INFO] 2026-05-13T07:18:26.605Z - Cell text: Automation, Test
[STEP] 2026-05-13T07:18:26.605Z - Getting cell text at row 4, column 1
[INFO] 2026-05-13T07:18:26.612Z - Cell text: Automation, Test
[STEP] 2026-05-13T07:18:26.612Z - Getting cell text at row 5, column 1
[INFO] 2026-05-13T07:18:26.621Z - Cell text: Automation, Test
[STEP] 2026-05-13T07:18:26.621Z - Getting cell text at row 6, column 1
[INFO] 2026-05-13T07:18:26.630Z - Cell text: Automation, Test
[STEP] 2026-05-13T07:18:26.630Z - Getting cell text at row 7, column 1
[INFO] 2026-05-13T07:18:26.639Z - Cell text: Automation, Test
[STEP] 2026-05-13T07:18:26.639Z - Getting cell text at row 8, column 1
[INFO] 2026-05-13T07:18:26.647Z - Cell text: Automation, Test
[STEP] 2026-05-13T07:18:26.647Z - Getting cell text at row 9, column 1
[INFO] 2026-05-13T07:18:26.653Z - Cell text: Automation, Test
[STEP] 2026-05-13T07:18:26.653Z - Getting cell text at row 10, column 1
[INFO] 2026-05-13T07:18:26.662Z - Cell text: Automation, Test
[STEP] 2026-05-13T07:18:26.662Z - Getting cell text at row 11, column 1
[INFO] 2026-05-13T07:18:26.669Z - Cell text: Automation, Test
[STEP] 2026-05-13T07:18:26.669Z - Getting cell text at row 12, column 1
[INFO] 2026-05-13T07:18:26.677Z - Cell text: Automation, Test
[STEP] 2026-05-13T07:18:26.678Z - Getting cell text at row 13, column 1
[INFO] 2026-05-13T07:18:26.685Z - Cell text: Automation, Test
[STEP] 2026-05-13T07:18:26.685Z - Getting cell text at row 14, column 1
[INFO] 2026-05-13T07:18:26.694Z - Cell text: Automation, Test
[STEP] 2026-05-13T07:18:26.694Z - Getting cell text at row 15, column 1
[INFO] 2026-05-13T07:18:26.701Z - Cell text: Automation, Test
[STEP] 2026-05-13T07:18:26.701Z - Getting cell text at row 16, column 1
[INFO] 2026-05-13T07:18:26.708Z - Cell text: Automation, Test
[STEP] 2026-05-13T07:18:26.709Z - Getting cell text at row 17, column 1
[INFO] 2026-05-13T07:18:26.719Z - Cell text: Automation, Test
[STEP] 2026-05-13T07:18:26.719Z - Getting cell text at row 18, column 1
[INFO] 2026-05-13T07:18:26.727Z - Cell text: Automation, Test
[STEP] 2026-05-13T07:18:26.727Z - Getting cell text at row 19, column 1
[INFO] 2026-05-13T07:18:26.733Z - Cell text: Automation, Test
[STEP] 2026-05-13T07:18:26.733Z - Getting cell text at row 20, column 1
[INFO] 2026-05-13T07:18:26.741Z - Cell text: Automation, Test
[STEP] 2026-05-13T07:18:26.741Z - Getting cell text at row 21, column 1
[INFO] 2026-05-13T07:18:26.748Z - Cell text: Automation, Test
[STEP] 2026-05-13T07:18:26.748Z - Getting cell text at row 22, column 1
[INFO] 2026-05-13T07:18:26.759Z - Cell text: Automation, Test
[STEP] 2026-05-13T07:18:26.759Z - Getting cell text at row 23, column 1
[INFO] 2026-05-13T07:18:26.772Z - Cell text: Automation, Test
[STEP] 2026-05-13T07:18:26.772Z - Getting cell text at row 24, column 1
[INFO] 2026-05-13T07:18:26.781Z - Cell text: Automation, Test
[STEP] 2026-05-13T07:18:26.781Z - Getting cell text at row 25, column 1
[INFO] 2026-05-13T07:18:26.787Z - Cell text: Automation, Test
[INFO] 2026-05-13T07:18:26.787Z - Found 25 patient names
[INFO] 2026-05-13T07:18:26.807Z - Name ascending sort verified
